key,AILIT-S01,AILIT-S02,AILIT-S03,AILIT-S04,AILIT-S05,AILIT-S06,AILIT-S07,AILIT-S08,AILIT-S09,AILIT-S10,AILIT-S11,AILIT-S12,total_aligned
FI-01,163,82,125,85,359,75,148,153,77,176,60,141,1644
FI-02,0,0,2,1,0,0,0,0,0,1,0,0,4
FI-03,0,0,3,3,2,1,0,0,0,0,0,3,12
FI-04,1,0,1,1,0,3,5,5,0,1,0,2,19
GB-01,3,0,1,0,1,0,0,1,1,0,0,3,10
GB-01_full,8,2,10,1,29,9,3,5,19,15,0,14,115
GB-02,1,0,0,1,0,0,1,0,0,2,0,1,6
GB-02_full,48,7,82,35,82,13,20,12,18,171,7,77,572
GB-03,0,0,0,0,0,0,0,1,0,0,0,2,3
GB-04,0,0,0,0,2,1,1,0,0,0,0,1,5
GB-04_full,0,0,0,0,2,1,1,0,0,0,0,1,5
KR-01,2,0,23,5,4,6,2,28,10,10,4,2,96
KR-02,34,16,172,487,50,560,77,862,228,167,23,396,3072
KR-03,1,2,26,4,5,3,1,13,17,20,0,12,104
KR-04,11,6,25,3,1,4,11,7,15,22,1,12,118
KR-05,0,1,16,2,2,0,1,14,10,1,2,4,53
SG-01,39,9,73,35,58,14,23,6,27,97,30,71,482
SG-02,0,0,4,0,0,2,0,0,1,0,0,0,7
SG-03,2,0,3,0,1,2,3,3,8,3,0,1,26
US-01,26,20,6,22,37,39,11,5,3,54,8,39,270
US-02,145,56,143,119,95,64,62,141,113,211,9,186,1344
US-03,7,2,4,0,0,2,7,4,8,9,0,3,46
US-04,156,96,195,132,264,107,74,131,90,147,25,165,1582
