key,AILIT-S01,AILIT-S02,AILIT-S03,AILIT-S04,AILIT-S05,AILIT-S06,AILIT-S07,AILIT-S08,AILIT-S09,AILIT-S10,AILIT-S11,AILIT-S12,total_aligned
FI-01,9.91,4.99,7.6,5.17,21.84,4.56,9.0,9.31,4.68,10.71,3.65,8.58,1644
FI-02,0.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,4
FI-03,0.0,0.0,25.0,25.0,16.67,8.33,0.0,0.0,0.0,0.0,0.0,25.0,12
FI-04,5.26,0.0,5.26,5.26,0.0,15.79,26.32,26.32,0.0,5.26,0.0,10.53,19
GB-01,30.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,30.0,10
GB-01_full,6.96,1.74,8.7,0.87,25.22,7.83,2.61,4.35,16.52,13.04,0.0,12.17,115
GB-02,16.67,0.0,0.0,16.67,0.0,0.0,16.67,0.0,0.0,33.33,0.0,16.67,6
GB-02_full,8.39,1.22,14.34,6.12,14.34,2.27,3.5,2.1,3.15,29.9,1.22,13.46,572
GB-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,66.67,3
GB-04,0.0,0.0,0.0,0.0,40.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,5
GB-04_full,0.0,0.0,0.0,0.0,40.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,5
KR-01,2.08,0.0,23.96,5.21,4.17,6.25,2.08,29.17,10.42,10.42,4.17,2.08,96
KR-02,1.11,0.52,5.6,15.85,1.63,18.23,2.51,28.06,7.42,5.44,0.75,12.89,3072
KR-03,0.96,1.92,25.0,3.85,4.81,2.88,0.96,12.5,16.35,19.23,0.0,11.54,104
KR-04,9.32,5.08,21.19,2.54,0.85,3.39,9.32,5.93,12.71,18.64,0.85,10.17,118
KR-05,0.0,1.89,30.19,3.77,3.77,0.0,1.89,26.42,18.87,1.89,3.77,7.55,53
SG-01,8.09,1.87,15.15,7.26,12.03,2.9,4.77,1.24,5.6,20.12,6.22,14.73,482
SG-02,0.0,0.0,57.14,0.0,0.0,28.57,0.0,0.0,14.29,0.0,0.0,0.0,7
SG-03,7.69,0.0,11.54,0.0,3.85,7.69,11.54,11.54,30.77,11.54,0.0,3.85,26
US-01,9.63,7.41,2.22,8.15,13.7,14.44,4.07,1.85,1.11,20.0,2.96,14.44,270
US-02,10.79,4.17,10.64,8.85,7.07,4.76,4.61,10.49,8.41,15.7,0.67,13.84,1344
US-03,15.22,4.35,8.7,0.0,0.0,4.35,15.22,8.7,17.39,19.57,0.0,6.52,46
US-04,9.86,6.07,12.33,8.34,16.69,6.76,4.68,8.28,5.69,9.29,1.58,10.43,1582
