key,AILIT-S01,AILIT-S02,AILIT-S03,AILIT-S04,AILIT-S05,AILIT-S06,AILIT-S07,AILIT-S08,AILIT-S09,AILIT-S10,AILIT-S11,AILIT-S12,total_aligned
KR,48,25,262,501,62,573,92,924,280,220,30,426,3443
GB,56,9,92,36,113,23,24,18,37,186,7,94,695
SG,41,9,77,35,59,18,23,7,31,100,30,72,502
FI,164,82,131,90,361,79,153,158,77,178,60,146,1679
US,334,174,348,273,396,212,154,281,214,421,42,393,3242
CN,14,3,42,6,13,12,44,7,22,112,65,50,390
JP,79,35,129,35,84,34,52,28,17,143,36,97,769
DE,36,16,131,28,64,20,23,19,22,191,24,117,691
FR,76,40,329,100,156,55,69,25,11,421,72,292,1646
CA,12,1,8,3,13,2,4,2,3,10,1,16,75
AU,2,3,7,0,6,5,1,0,10,1,1,8,44
IL,96,26,119,88,147,45,36,31,26,198,79,124,1015
IN,103,41,190,73,378,66,118,44,36,452,75,187,1763
EE,4,9,6,0,15,5,1,0,1,12,1,13,67
NO,58,64,66,49,272,44,106,43,15,191,33,97,1038
SE,20,3,34,20,19,7,89,8,14,95,11,68,388
NL,64,23,102,47,159,21,63,27,20,298,26,102,952
IE,46,27,342,31,136,105,30,292,63,101,24,115,1312
ES,7,3,40,7,25,6,43,0,4,32,19,26,212
IT,72,28,117,46,92,83,45,20,24,369,25,159,1080
AE,1,1,1,2,1,1,0,0,0,0,0,0,7
SA,6,1,34,7,49,5,34,5,12,49,8,38,248
BR,65,99,27,41,138,59,21,7,1,160,20,76,714
MX,185,32,128,200,308,35,57,42,16,184,33,91,1311
ZA,108,77,205,119,294,66,74,23,31,223,41,101,1362
