key,AILIT-S01,AILIT-S02,AILIT-S03,AILIT-S04,AILIT-S05,AILIT-S06,AILIT-S07,AILIT-S08,AILIT-S09,AILIT-S10,AILIT-S11,AILIT-S12,total_aligned
KR,2.88,1.61,13.77,4.88,0.94,4.12,2.94,30.24,9.61,12.65,0.97,15.38,3297
GB,9.32,2.62,16.45,5.09,8.3,1.02,3.64,2.91,5.39,28.82,1.02,15.43,687
SG,9.13,2.03,19.47,3.65,9.13,2.23,4.67,2.03,6.09,20.89,6.09,14.6,493
FI,9.0,5.25,9.0,11.47,14.43,2.78,9.42,10.08,4.77,10.93,3.5,9.36,1656
US,11.59,6.82,14.11,7.44,7.41,2.3,4.89,9.37,6.73,14.95,1.37,13.02,3211
CN,3.36,0.78,11.11,1.03,3.36,1.03,11.37,1.81,5.68,30.75,16.28,13.44,387
JP,11.19,5.59,19.71,5.99,5.46,0.8,7.19,3.86,2.4,19.31,5.06,13.45,751
DE,5.85,2.49,21.35,3.22,5.85,0.58,3.51,2.78,3.22,29.82,3.51,17.84,684
FR,5.23,2.77,24.17,4.74,5.04,0.74,4.12,1.54,0.68,27.92,4.61,18.45,1626
CA,20.0,1.33,9.33,8.0,13.33,0.0,5.33,2.67,4.0,14.67,1.33,20.0,75
AU,4.76,9.52,14.29,4.76,9.52,4.76,0.0,0.0,23.81,4.76,2.38,21.43,42
IL,12.15,3.82,15.86,5.62,7.43,1.0,3.71,3.21,2.71,23.29,8.23,12.95,996
IN,6.87,3.55,12.75,6.0,13.39,1.8,6.64,2.91,2.27,27.82,4.37,11.64,1718
EE,4.55,10.61,10.61,6.06,16.67,4.55,1.52,0.0,1.52,19.7,1.52,22.73,66
NO,6.67,7.8,8.62,6.67,16.02,2.36,10.88,4.93,1.75,20.94,3.29,10.06,974
SE,5.71,0.26,10.65,5.71,3.12,1.04,22.08,2.08,3.64,23.9,3.12,18.7,385
NL,7.71,3.43,13.6,6.21,7.82,0.86,7.17,3.0,2.36,33.3,2.78,11.78,934
IE,4.42,2.95,30.08,2.4,6.43,0.7,2.33,23.33,4.96,9.61,2.09,10.7,1290
ES,2.86,2.38,19.05,9.05,5.24,1.9,20.48,0.0,1.9,16.19,8.57,12.38,210
IT,7.32,4.22,13.41,3.75,4.5,1.78,4.32,1.88,2.25,38.65,2.53,15.38,1066
AE,14.29,28.57,42.86,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
SA,2.99,1.28,18.38,2.56,5.13,0.85,15.81,2.14,5.56,23.08,3.42,18.8,234
BR,8.65,16.57,6.34,14.84,6.92,2.45,2.88,1.15,0.14,26.22,2.88,10.95,694
MX,18.83,3.59,15.4,9.34,15.32,1.36,4.55,3.75,1.44,15.96,2.79,7.66,1253
ZA,9.37,7.05,18.67,12.59,11.99,2.7,5.32,1.95,2.32,17.17,3.0,7.87,1334
