key,AILIT-O01,AILIT-O02,AILIT-O03,AILIT-O04,total_aligned
KR,1021,216,414,1267,2918
GB,121,135,182,156,594
SG,122,94,155,47,418
FI,408,213,171,478,1270
US,619,121,417,1396,2553
CN,60,72,147,80,359
JP,180,95,228,102,605
DE,142,51,181,195,569
FR,378,191,448,298,1315
CA,19,14,7,28,68
AU,2,4,3,23,32
IL,146,144,247,213,750
IN,330,288,383,241,1242
EE,16,5,30,2,53
NO,187,75,175,205,642
SE,125,37,63,115,340
NL,215,100,265,173,753
IE,170,26,70,593,859
ES,26,29,89,25,169
IT,130,188,380,198,896
AE,1,0,4,1,6
SA,49,25,98,30,202
BR,88,69,214,122,493
MX,215,117,266,224,822
ZA,212,140,293,299,944
