key,AILIT-O01F,AILIT-O02F,AILIT-O03F,AILIT-O04F,total_aligned
KR,530,1010,1454,102,3096
GB,167,182,235,18,602
SG,111,136,167,7,421
FI,219,416,584,81,1300
US,415,504,1546,169,2634
CN,66,133,137,13,349
JP,169,157,260,14,600
DE,150,150,271,13,584
FR,388,261,541,158,1348
CA,12,16,38,4,70
AU,18,10,7,2,37
IL,183,215,362,14,774
IN,320,271,635,63,1289
EE,26,0,25,3,54
NO,133,139,323,53,648
SE,101,67,159,14,341
NL,218,178,362,17,775
IE,243,123,378,177,921
ES,35,37,99,6,177
IT,192,257,397,25,871
AE,1,1,3,1,6
SA,85,48,67,3,203
BR,117,66,299,17,499
MX,202,194,410,36,842
ZA,262,186,504,30,982
