key,AILIT-O01F,AILIT-O02F,AILIT-O03F,AILIT-O04F,total_aligned
KR,408,522,389,2222,3541
GB,135,51,86,390,662
SG,116,63,60,253,492
FI,257,240,234,755,1486
US,254,133,473,2103,2963
CN,44,25,53,264,386
JP,162,51,99,383,695
DE,108,23,41,478,650
FR,189,49,117,1202,1557
CA,4,1,14,54,73
AU,5,4,1,32,42
IL,147,53,144,577,921
IN,363,79,195,807,1444
EE,29,0,10,18,57
NO,143,54,144,464,805
SE,62,17,47,242,368
NL,193,47,168,460,868
IE,124,28,61,1021,1234
ES,29,11,21,132,193
IT,115,74,137,697,1023
AE,1,0,3,2,6
SA,64,12,15,129,220
BR,151,28,147,252,578
MX,173,42,121,665,1001
ZA,254,54,244,569,1121
