key,AILIT-O01,AILIT-O02,AILIT-O03,AILIT-O04,total_aligned
KR,34.99,7.4,14.19,43.42,2918
GB,20.37,22.73,30.64,26.26,594
SG,29.19,22.49,37.08,11.24,418
FI,32.13,16.77,13.46,37.64,1270
US,24.25,4.74,16.33,54.68,2553
CN,16.71,20.06,40.95,22.28,359
JP,29.75,15.7,37.69,16.86,605
DE,24.96,8.96,31.81,34.27,569
FR,28.75,14.52,34.07,22.66,1315
CA,27.94,20.59,10.29,41.18,68
AU,6.25,12.5,9.38,71.88,32
IL,19.47,19.2,32.93,28.4,750
IN,26.57,23.19,30.84,19.4,1242
EE,30.19,9.43,56.6,3.77,53
NO,29.13,11.68,27.26,31.93,642
SE,36.76,10.88,18.53,33.82,340
NL,28.55,13.28,35.19,22.97,753
IE,19.79,3.03,8.15,69.03,859
ES,15.38,17.16,52.66,14.79,169
IT,14.51,20.98,42.41,22.1,896
AE,16.67,0.0,66.67,16.67,6
SA,24.26,12.38,48.51,14.85,202
BR,17.85,14.0,43.41,24.75,493
MX,26.16,14.23,32.36,27.25,822
ZA,22.46,14.83,31.04,31.67,944
