key,AILIT-O01F,AILIT-O02F,AILIT-O03F,AILIT-O04F,total_aligned
KR,17.12,32.62,46.96,3.29,3096
GB,27.74,30.23,39.04,2.99,602
SG,26.37,32.3,39.67,1.66,421
FI,16.85,32.0,44.92,6.23,1300
US,15.76,19.13,58.69,6.42,2634
CN,18.91,38.11,39.26,3.72,349
JP,28.17,26.17,43.33,2.33,600
DE,25.68,25.68,46.4,2.23,584
FR,28.78,19.36,40.13,11.72,1348
CA,17.14,22.86,54.29,5.71,70
AU,48.65,27.03,18.92,5.41,37
IL,23.64,27.78,46.77,1.81,774
IN,24.83,21.02,49.26,4.89,1289
EE,48.15,0.0,46.3,5.56,54
NO,20.52,21.45,49.85,8.18,648
SE,29.62,19.65,46.63,4.11,341
NL,28.13,22.97,46.71,2.19,775
IE,26.38,13.36,41.04,19.22,921
ES,19.77,20.9,55.93,3.39,177
IT,22.04,29.51,45.58,2.87,871
AE,16.67,16.67,50.0,16.67,6
SA,41.87,23.65,33.0,1.48,203
BR,23.45,13.23,59.92,3.41,499
MX,23.99,23.04,48.69,4.28,842
ZA,26.68,18.94,51.32,3.05,982
