key,AILIT-O01F,AILIT-O02F,AILIT-O03F,AILIT-O04F,total_aligned
KR,11.52,14.74,10.99,62.75,3541
GB,20.39,7.7,12.99,58.91,662
SG,23.58,12.8,12.2,51.42,492
FI,17.29,16.15,15.75,50.81,1486
US,8.57,4.49,15.96,70.98,2963
CN,11.4,6.48,13.73,68.39,386
JP,23.31,7.34,14.24,55.11,695
DE,16.62,3.54,6.31,73.54,650
FR,12.14,3.15,7.51,77.2,1557
CA,5.48,1.37,19.18,73.97,73
AU,11.9,9.52,2.38,76.19,42
IL,15.96,5.75,15.64,62.65,921
IN,25.14,5.47,13.5,55.89,1444
EE,50.88,0.0,17.54,31.58,57
NO,17.76,6.71,17.89,57.64,805
SE,16.85,4.62,12.77,65.76,368
NL,22.24,5.41,19.35,53.0,868
IE,10.05,2.27,4.94,82.74,1234
ES,15.03,5.7,10.88,68.39,193
IT,11.24,7.23,13.39,68.13,1023
AE,16.67,0.0,50.0,33.33,6
SA,29.09,5.45,6.82,58.64,220
BR,26.12,4.84,25.43,43.6,578
MX,17.28,4.2,12.09,66.43,1001
ZA,22.66,4.82,21.77,50.76,1121
