key,AILIT-T01,AILIT-T02,AILIT-T03,AILIT-T04,AILIT-T05,total_aligned
KR,1520,16,57,994,378,2965
GB,38,75,70,130,272,585
SG,32,47,44,59,210,392
FI,260,198,157,296,265,1176
US,752,227,184,943,437,2543
CN,16,15,64,33,195,323
JP,88,72,92,119,221,592
DE,59,48,63,143,249,562
FR,111,105,162,246,662,1286
CA,9,10,5,21,28,73
AU,5,3,9,16,6,39
IL,43,135,92,147,291,708
IN,59,227,183,224,468,1161
EE,2,13,4,16,14,49
NO,49,118,64,129,214,574
SE,35,30,55,101,97,318
NL,53,122,106,168,281,730
IE,153,62,95,537,236,1083
ES,24,17,23,25,88,177
IT,96,47,106,175,367,791
AE,1,1,0,2,1,5
SA,6,11,36,19,124,196
BR,61,128,71,91,79,430
MX,162,146,83,182,201,774
ZA,122,260,102,183,259,926
