key,AILIT-T01,AILIT-T02,AILIT-T03,AILIT-T04,AILIT-T05,total_aligned
KR,51.26,0.54,1.92,33.52,12.75,2965
GB,6.5,12.82,11.97,22.22,46.5,585
SG,8.16,11.99,11.22,15.05,53.57,392
FI,22.11,16.84,13.35,25.17,22.53,1176
US,29.57,8.93,7.24,37.08,17.18,2543
CN,4.95,4.64,19.81,10.22,60.37,323
JP,14.86,12.16,15.54,20.1,37.33,592
DE,10.5,8.54,11.21,25.44,44.31,562
FR,8.63,8.16,12.6,19.13,51.48,1286
CA,12.33,13.7,6.85,28.77,38.36,73
AU,12.82,7.69,23.08,41.03,15.38,39
IL,6.07,19.07,12.99,20.76,41.1,708
IN,5.08,19.55,15.76,19.29,40.31,1161
EE,4.08,26.53,8.16,32.65,28.57,49
NO,8.54,20.56,11.15,22.47,37.28,574
SE,11.01,9.43,17.3,31.76,30.5,318
NL,7.26,16.71,14.52,23.01,38.49,730
IE,14.13,5.72,8.77,49.58,21.79,1083
ES,13.56,9.6,12.99,14.12,49.72,177
IT,12.14,5.94,13.4,22.12,46.4,791
AE,20.0,20.0,0.0,40.0,20.0,5
SA,3.06,5.61,18.37,9.69,63.27,196
BR,14.19,29.77,16.51,21.16,18.37,430
MX,20.93,18.86,10.72,23.51,25.97,774
ZA,13.17,28.08,11.02,19.76,27.97,926
