key,AILIT-O01,AILIT-O02,AILIT-O03,AILIT-O04,total_aligned
AE-01,1,0,0,0,1
AE-02,0,0,4,1,5
AU-01,1,4,3,17,25
AU-02,1,0,0,4,5
AU-03,0,0,0,2,2
BR-02,11,22,52,21,106
BR-03,77,47,162,101,387
CA-01,1,7,2,2,12
CA-02,14,2,3,22,41
CA-03,4,5,2,4,15
CN-01,60,72,147,80,359
DE-01,107,46,157,105,415
DE-02,0,0,7,6,13
DE-03,35,5,17,84,141
EE-01,1,0,2,0,3
EE-02,15,5,28,2,50
ES-01,12,5,29,7,53
ES-02,14,24,60,18,116
FI-01,404,212,168,454,1238
FI-02,0,1,0,3,4
FI-03,1,0,0,11,12
FI-04,3,0,3,10,16
FR-01,42,47,56,69,214
FR-02,27,17,11,81,136
FR-03,309,127,381,148,965
GB-01_full,15,15,11,60,101
GB-02_full,106,120,171,89,486
GB-03,0,0,0,3,3
GB-04_full,0,0,0,4,4
IE-01,85,7,24,352,468
IE-02,85,19,46,241,391
IL-01,125,133,212,180,650
IL-02,21,11,35,33,100
IN-01,255,150,338,176,919
IN-02,55,118,34,40,247
IN-03,20,20,11,25,76
IT-01,65,85,182,86,418
IT-02,65,103,198,112,478
JP-01,137,59,136,65,397
JP-02,37,31,91,26,185
JP-03,6,5,1,11,23
KR-01,20,1,1,46,68
KR-02,951,212,373,1100,2636
KR-03,16,1,1,71,89
KR-04,27,2,38,34,101
KR-05,7,0,1,16,24
MX-01,207,106,255,206,774
MX-02,8,11,11,18,48
NL-01,215,97,265,172,749
NL-02,0,3,0,1,4
NO-01,186,74,174,202,636
NO-02,1,1,1,3,6
SA-01,47,18,81,25,171
SA-02,2,7,17,5,31
SE-01,37,19,38,20,114
SE-02,88,18,25,95,226
SG-01,121,94,153,31,399
SG-02,0,0,2,5,7
SG-03,1,0,0,11,12
US-01,20,37,88,66,211
US-02,313,35,129,644,1121
US-03,9,1,14,22,46
US-04,277,48,186,664,1175
ZA-01,193,135,275,264,867
ZA-02,19,5,18,35,77
