key,AILIT-O01F,AILIT-O02F,AILIT-O03F,AILIT-O04F,total_aligned
AE-01,0,0,0,1,1
AE-02,1,1,3,0,5
AU-01,13,9,7,1,30
AU-02,4,1,0,0,5
AU-03,2,0,0,0,2
BR-01,0,0,0,0,0
BR-02,44,11,50,4,109
BR-03,72,58,244,20,394
CA-01,5,2,4,2,13
CA-02,6,2,30,3,41
CA-03,2,11,3,0,16
CN-01,64,127,132,26,349
CN-02,0,0,1,0,1
DE-01,128,105,183,7,423
DE-02,7,4,1,0,12
DE-03,15,40,84,9,148
EE-01,1,0,2,0,3
EE-02,25,0,23,2,50
ES-01,11,11,30,2,54
ES-02,25,24,69,4,122
FI-01,206,408,546,103,1263
FI-02,1,0,0,3,4
FI-03,4,0,8,0,12
FI-04,2,2,11,2,17
FR-01,71,86,55,5,217
FR-02,30,33,66,10,139
FR-03,288,167,410,125,990
GB-01_full,15,32,52,6,105
GB-02_full,154,147,180,11,492
GB-03,0,1,0,2,3
GB-04_full,0,1,3,0,4
IE-01,146,55,125,193,519
IE-02,84,57,216,38,395
IL-01,158,200,299,15,672
IL-02,26,13,62,1,102
IN-01,227,221,459,40,947
IN-02,69,16,149,79,313
IN-03,22,32,20,1,75
IT-01,100,115,191,11,417
IT-02,94,141,203,18,456
JP-01,106,106,172,12,396
JP-02,62,43,74,1,180
JP-03,2,7,11,3,23
KR-01,14,18,22,15,69
KR-02,465,906,1191,264,2826
KR-03,9,30,44,12,95
KR-04,1,23,80,5,109
KR-05,8,3,18,0,29
MX-01,184,172,386,61,803
MX-02,19,11,16,1,47
NL-01,219,174,356,24,773
NL-02,1,3,0,0,4
NO-01,132,132,317,66,647
NO-02,0,5,1,0,6
SA-01,69,41,61,2,173
SA-02,17,7,6,0,30
SE-01,25,21,64,1,111
SE-02,74,44,91,21,230
SG-01,107,134,158,4,403
SG-02,0,0,2,3,5
SG-03,4,1,7,0,12
US-01,63,30,113,9,215
US-02,127,226,650,168,1171
US-03,4,10,31,0,45
US-04,209,214,679,102,1204
ZA-01,233,161,472,31,897
ZA-02,29,25,28,4,86
