key,AILIT-O01F,AILIT-O02F,AILIT-O03F,AILIT-O04F,total_aligned
AE-01,1,0,0,0,1
AE-02,0,0,3,2,5
AU-01,3,4,1,26,34
AU-02,2,0,0,3,5
AU-03,0,0,0,3,3
BR-01,0,0,0,0,0
BR-02,48,8,13,52,121
BR-03,103,20,134,200,457
CA-01,0,0,1,14,15
CA-02,3,1,13,25,42
CA-03,1,0,0,15,16
CN-01,44,25,52,264,385
CN-02,0,0,1,0,1
DE-01,96,17,34,325,472
DE-02,5,1,0,10,16
DE-03,7,5,7,143,162
EE-01,2,0,1,0,3
EE-02,27,0,9,18,54
ES-01,9,3,3,45,60
ES-02,20,8,18,87,133
FI-01,254,240,230,728,1452
FI-02,0,0,0,4,4
FI-03,1,0,2,9,12
FI-04,2,0,2,14,18
FR-01,34,11,15,200,260
FR-02,13,10,15,112,150
FR-03,142,28,87,890,1147
GB-01_full,13,13,20,64,110
GB-02_full,122,38,66,318,544
GB-03,0,0,0,3,3
GB-04_full,0,0,0,5,5
IE-01,58,4,7,741,810
IE-02,66,24,54,280,424
IL-01,115,50,107,538,810
IL-02,32,3,37,39,111
IN-01,169,53,141,725,1088
IN-02,174,8,50,41,273
IN-03,20,18,4,41,83
IT-01,60,43,76,299,478
IT-02,55,31,61,398,545
JP-01,106,35,65,273,479
JP-02,53,12,31,94,190
JP-03,3,4,3,16,26
KR-01,6,3,1,79,89
KR-02,397,511,366,1912,3186
KR-03,3,6,6,88,103
KR-04,1,2,15,97,115
KR-05,1,0,1,46,48
MX-01,156,35,115,645,951
MX-02,17,7,6,20,50
NL-01,193,46,168,457,864
NL-02,0,1,0,3,4
NO-01,143,53,144,458,798
NO-02,0,1,0,6,7
SA-01,53,12,14,110,189
SA-02,11,0,1,19,31
SE-01,22,3,12,82,119
SE-02,40,14,35,160,249
SG-01,111,62,59,240,472
SG-02,1,0,0,7,8
SG-03,4,1,1,6,12
US-01,28,6,48,148,230
US-02,85,59,197,944,1285
US-03,0,0,10,36,46
US-04,141,68,218,975,1402
ZA-01,233,49,241,492,1015
ZA-02,21,5,3,77,106
