key,AILIT-T01,AILIT-T02,AILIT-T03,AILIT-T04,AILIT-T05,total_aligned
AE-01,0,1,0,0,0,1
AE-02,1,0,0,2,1,4
AU-01,4,3,8,12,4,31
AU-02,0,0,1,2,2,5
AU-03,1,0,0,2,0,3
BR-02,4,19,26,36,22,107
BR-03,57,109,45,55,57,323
CA-01,0,1,0,3,11,15
CA-02,9,9,3,15,6,42
CA-03,0,0,2,3,11,16
CN-01,16,15,64,33,195,323
DE-01,32,39,57,69,202,399
DE-02,1,1,2,4,5,13
DE-03,26,8,4,70,42,150
EE-01,0,0,0,1,2,3
EE-02,2,13,4,15,12,46
ES-01,20,10,4,13,13,60
ES-02,4,7,19,12,75,117
FI-01,256,190,157,281,258,1142
FI-02,1,0,0,3,0,4
FI-03,2,6,0,3,1,12
FI-04,1,2,0,9,6,18
FR-01,5,7,34,17,151,214
FR-02,23,31,9,64,12,139
FR-03,83,67,119,165,499,933
GB-01_full,11,16,13,39,18,97
GB-02_full,27,58,54,88,254,481
GB-03,0,0,2,1,0,3
GB-04_full,0,1,1,2,0,4
IE-01,111,6,52,338,190,697
IE-02,42,56,43,199,46,386
IL-01,36,90,81,123,285,615
IL-02,7,45,11,24,6,93
IN-01,34,71,149,184,431,869
IN-02,20,151,12,27,12,222
IN-03,5,5,22,13,25,70
IT-01,39,24,54,95,164,376
IT-02,57,23,52,80,203,415
JP-01,65,53,54,71,141,384
JP-02,17,17,34,41,73,182
JP-03,6,2,4,7,7,26
KR-01,17,0,1,41,14,73
KR-02,1447,14,52,862,278,2653
KR-03,28,1,1,40,25,95
KR-04,13,1,2,35,51,102
KR-05,15,0,1,16,10,42
MX-01,156,127,77,177,191,728
MX-02,6,19,6,5,10,46
NL-01,52,121,105,167,281,726
NL-02,1,1,1,1,0,4
NO-01,49,117,62,129,211,568
NO-02,0,1,2,0,3,6
SA-01,6,11,30,15,104,166
SA-02,0,0,6,4,20,30
SE-01,11,15,11,36,37,110
SE-02,24,15,44,65,60,208
SG-01,30,46,42,49,205,372
SG-02,0,0,1,3,4,8
SG-03,2,1,1,7,1,12
US-01,19,37,39,54,43,192
US-02,345,82,48,450,213,1138
US-03,0,2,3,19,19,43
US-04,388,106,94,420,162,1170
ZA-01,117,251,89,170,219,846
ZA-02,5,9,13,13,40,80
