key,AILIT-S01,AILIT-S02,AILIT-S03,AILIT-S04,AILIT-S05,AILIT-S06,AILIT-S07,AILIT-S08,AILIT-S09,AILIT-S10,AILIT-S11,AILIT-S12,total_aligned
AE-01,0,0,1,1,0,0,0,0,0,0,0,0,2
AE-02,1,2,2,0,0,0,0,0,0,0,0,0,5
AU-01,2,4,5,2,4,2,0,0,7,2,1,4,33
AU-02,0,0,0,0,0,0,0,0,2,0,0,4,6
AU-03,0,0,1,0,0,0,0,0,1,0,0,1,3
BR-02,18,2,14,13,18,2,3,5,0,36,8,20,139
BR-03,42,113,30,90,30,15,17,3,1,146,12,56,555
CA-01,1,0,5,0,0,0,1,0,0,4,0,4,15
CA-02,12,1,2,6,9,0,2,1,2,1,0,8,44
CA-03,2,0,0,0,1,0,1,1,1,6,1,3,16
CN-01,13,3,43,4,13,4,44,7,22,118,63,52,386
CN-02,0,0,0,0,0,0,0,0,0,1,0,0,1
DE-01,32,8,108,15,32,3,13,3,6,168,20,88,496
DE-02,0,0,3,0,0,0,0,0,0,10,1,2,16
DE-03,8,9,35,7,8,1,11,16,16,26,3,32,172
EE-01,0,0,1,0,0,0,0,0,0,2,0,0,3
EE-02,3,7,6,4,11,3,1,0,1,11,1,15,63
ES-01,4,3,26,11,3,0,3,0,1,7,1,6,65
ES-02,2,2,14,8,8,4,40,0,3,27,17,20,145
FI-01,147,87,142,183,239,46,151,161,79,179,58,150,1622
FI-02,0,0,2,1,0,0,0,0,0,1,0,0,4
FI-03,1,0,3,5,0,0,0,0,0,0,0,3,12
FI-04,1,0,2,1,0,0,5,6,0,1,0,2,18
FR-01,10,4,65,7,5,3,17,4,3,66,24,64,272
FR-02,17,8,36,22,21,1,11,13,2,22,0,9,162
FR-03,58,33,292,48,56,8,39,8,6,366,51,227,1192
GB-01_full,12,7,10,2,19,2,3,6,19,19,0,15,114
GB-02_full,52,10,103,33,36,5,21,13,18,179,7,88,565
GB-03,0,0,0,0,0,0,0,1,0,0,0,2,3
GB-04_full,0,1,0,0,2,0,1,0,0,0,0,1,5
IE-01,15,19,311,2,37,4,10,258,27,50,23,84,840
IE-02,42,19,77,29,46,5,20,43,37,74,4,54,450
IL-01,98,27,148,39,66,8,37,30,27,192,82,123,877
IL-02,23,11,10,17,8,2,0,2,0,40,0,6,119
IN-01,61,26,137,44,55,12,92,45,34,419,58,152,1135
IN-02,56,35,70,57,172,19,10,1,0,37,4,36,497
IN-03,1,0,12,2,3,0,12,4,5,22,13,12,86
IT-01,43,16,60,18,23,7,23,11,14,199,9,77,500
IT-02,35,29,83,22,25,12,23,9,10,213,18,87,566
JP-01,54,30,106,35,28,6,45,26,11,94,31,62,528
JP-02,30,7,40,10,11,0,6,0,4,46,7,35,196
JP-03,0,5,2,0,2,0,3,3,3,5,0,4,27
KR-01,2,1,25,3,1,2,2,29,10,12,4,2,93
KR-02,79,42,354,157,22,133,82,934,265,361,25,476,2930
KR-03,1,3,31,1,5,1,1,13,17,19,0,12,104
KR-04,13,6,26,0,1,0,11,7,15,24,1,13,117
KR-05,0,1,18,0,2,0,1,14,10,1,2,4,53
MX-01,229,44,182,104,185,16,57,47,18,188,35,93,1198
MX-02,7,1,11,13,7,1,0,0,0,12,0,3,55
NL-01,72,32,123,58,73,8,67,28,22,311,26,110,930
NL-02,0,0,4,0,0,0,0,0,0,0,0,0,4
NO-01,65,76,82,65,156,23,104,48,17,202,32,97,967
NO-02,0,0,2,0,0,0,2,0,0,2,0,1,7
SA-01,6,3,37,6,12,2,31,5,8,45,6,41,202
SA-02,1,0,6,0,0,0,6,0,5,9,2,3,32
SE-01,7,1,14,20,11,2,15,0,1,33,3,19,126
SE-02,15,0,27,2,1,2,70,8,13,59,9,53,259
SG-01,44,10,91,15,43,11,23,9,26,100,30,71,473
SG-02,0,0,5,0,0,0,0,0,1,1,0,0,7
SG-03,1,0,0,3,2,0,0,1,3,2,0,1,13
US-01,30,29,13,34,20,14,12,6,3,60,8,38,267
US-02,153,68,177,110,53,20,63,147,112,237,9,200,1349
US-03,7,3,4,1,0,0,7,4,8,9,0,3,46
US-04,182,119,259,94,165,40,75,144,93,174,27,177,1549
ZA-01,122,92,218,162,155,35,64,22,27,198,35,95,1225
ZA-02,3,2,31,6,5,1,7,4,4,31,5,10,109
