key,AILIT-O01,AILIT-O02,AILIT-O03,AILIT-O04,total_aligned
AE-01,100.0,0.0,0.0,0.0,1
AE-02,0.0,0.0,80.0,20.0,5
AU-01,4.0,16.0,12.0,68.0,25
AU-02,20.0,0.0,0.0,80.0,5
AU-03,0.0,0.0,0.0,100.0,2
BR-02,10.38,20.75,49.06,19.81,106
BR-03,19.9,12.14,41.86,26.1,387
CA-01,8.33,58.33,16.67,16.67,12
CA-02,34.15,4.88,7.32,53.66,41
CA-03,26.67,33.33,13.33,26.67,15
CN-01,16.71,20.06,40.95,22.28,359
DE-01,25.78,11.08,37.83,25.3,415
DE-02,0.0,0.0,53.85,46.15,13
DE-03,24.82,3.55,12.06,59.57,141
EE-01,33.33,0.0,66.67,0.0,3
EE-02,30.0,10.0,56.0,4.0,50
ES-01,22.64,9.43,54.72,13.21,53
ES-02,12.07,20.69,51.72,15.52,116
FI-01,32.63,17.12,13.57,36.67,1238
FI-02,0.0,25.0,0.0,75.0,4
FI-03,8.33,0.0,0.0,91.67,12
FI-04,18.75,0.0,18.75,62.5,16
FR-01,19.63,21.96,26.17,32.24,214
FR-02,19.85,12.5,8.09,59.56,136
FR-03,32.02,13.16,39.48,15.34,965
GB-01_full,14.85,14.85,10.89,59.41,101
GB-02_full,21.81,24.69,35.19,18.31,486
GB-03,0.0,0.0,0.0,100.0,3
GB-04_full,0.0,0.0,0.0,100.0,4
IE-01,18.16,1.5,5.13,75.21,468
IE-02,21.74,4.86,11.76,61.64,391
IL-01,19.23,20.46,32.62,27.69,650
IL-02,21.0,11.0,35.0,33.0,100
IN-01,27.75,16.32,36.78,19.15,919
IN-02,22.27,47.77,13.77,16.19,247
IN-03,26.32,26.32,14.47,32.89,76
IT-01,15.55,20.33,43.54,20.57,418
IT-02,13.6,21.55,41.42,23.43,478
JP-01,34.51,14.86,34.26,16.37,397
JP-02,20.0,16.76,49.19,14.05,185
JP-03,26.09,21.74,4.35,47.83,23
KR-01,29.41,1.47,1.47,67.65,68
KR-02,36.08,8.04,14.15,41.73,2636
KR-03,17.98,1.12,1.12,79.78,89
KR-04,26.73,1.98,37.62,33.66,101
KR-05,29.17,0.0,4.17,66.67,24
MX-01,26.74,13.7,32.95,26.61,774
MX-02,16.67,22.92,22.92,37.5,48
NL-01,28.7,12.95,35.38,22.96,749
NL-02,0.0,75.0,0.0,25.0,4
NO-01,29.25,11.64,27.36,31.76,636
NO-02,16.67,16.67,16.67,50.0,6
SA-01,27.49,10.53,47.37,14.62,171
SA-02,6.45,22.58,54.84,16.13,31
SE-01,32.46,16.67,33.33,17.54,114
SE-02,38.94,7.96,11.06,42.04,226
SG-01,30.33,23.56,38.35,7.77,399
SG-02,0.0,0.0,28.57,71.43,7
SG-03,8.33,0.0,0.0,91.67,12
US-01,9.48,17.54,41.71,31.28,211
US-02,27.92,3.12,11.51,57.45,1121
US-03,19.57,2.17,30.43,47.83,46
US-04,23.57,4.09,15.83,56.51,1175
ZA-01,22.26,15.57,31.72,30.45,867
ZA-02,24.68,6.49,23.38,45.45,77
