key,AILIT-O01F,AILIT-O02F,AILIT-O03F,AILIT-O04F,total_aligned
AE-01,0.0,0.0,0.0,100.0,1
AE-02,20.0,20.0,60.0,0.0,5
AU-01,43.33,30.0,23.33,3.33,30
AU-02,80.0,20.0,0.0,0.0,5
AU-03,100.0,0.0,0.0,0.0,2
BR-01,0.0,0.0,0.0,0.0,0
BR-02,40.37,10.09,45.87,3.67,109
BR-03,18.27,14.72,61.93,5.08,394
CA-01,38.46,15.38,30.77,15.38,13
CA-02,14.63,4.88,73.17,7.32,41
CA-03,12.5,68.75,18.75,0.0,16
CN-01,18.34,36.39,37.82,7.45,349
CN-02,0.0,0.0,100.0,0.0,1
DE-01,30.26,24.82,43.26,1.65,423
DE-02,58.33,33.33,8.33,0.0,12
DE-03,10.14,27.03,56.76,6.08,148
EE-01,33.33,0.0,66.67,0.0,3
EE-02,50.0,0.0,46.0,4.0,50
ES-01,20.37,20.37,55.56,3.7,54
ES-02,20.49,19.67,56.56,3.28,122
FI-01,16.31,32.3,43.23,8.16,1263
FI-02,25.0,0.0,0.0,75.0,4
FI-03,33.33,0.0,66.67,0.0,12
FI-04,11.76,11.76,64.71,11.76,17
FR-01,32.72,39.63,25.35,2.3,217
FR-02,21.58,23.74,47.48,7.19,139
FR-03,29.09,16.87,41.41,12.63,990
GB-01_full,14.29,30.48,49.52,5.71,105
GB-02_full,31.3,29.88,36.59,2.24,492
GB-03,0.0,33.33,0.0,66.67,3
GB-04_full,0.0,25.0,75.0,0.0,4
IE-01,28.13,10.6,24.08,37.19,519
IE-02,21.27,14.43,54.68,9.62,395
IL-01,23.51,29.76,44.49,2.23,672
IL-02,25.49,12.75,60.78,0.98,102
IN-01,23.97,23.34,48.47,4.22,947
IN-02,22.04,5.11,47.6,25.24,313
IN-03,29.33,42.67,26.67,1.33,75
IT-01,23.98,27.58,45.8,2.64,417
IT-02,20.61,30.92,44.52,3.95,456
JP-01,26.77,26.77,43.43,3.03,396
JP-02,34.44,23.89,41.11,0.56,180
JP-03,8.7,30.43,47.83,13.04,23
KR-01,20.29,26.09,31.88,21.74,69
KR-02,16.45,32.06,42.14,9.34,2826
KR-03,9.47,31.58,46.32,12.63,95
KR-04,0.92,21.1,73.39,4.59,109
KR-05,27.59,10.34,62.07,0.0,29
MX-01,22.91,21.42,48.07,7.6,803
MX-02,40.43,23.4,34.04,2.13,47
NL-01,28.33,22.51,46.05,3.1,773
NL-02,25.0,75.0,0.0,0.0,4
NO-01,20.4,20.4,49.0,10.2,647
NO-02,0.0,83.33,16.67,0.0,6
SA-01,39.88,23.7,35.26,1.16,173
SA-02,56.67,23.33,20.0,0.0,30
SE-01,22.52,18.92,57.66,0.9,111
SE-02,32.17,19.13,39.57,9.13,230
SG-01,26.55,33.25,39.21,0.99,403
SG-02,0.0,0.0,40.0,60.0,5
SG-03,33.33,8.33,58.33,0.0,12
US-01,29.3,13.95,52.56,4.19,215
US-02,10.85,19.3,55.51,14.35,1171
US-03,8.89,22.22,68.89,0.0,45
US-04,17.36,17.77,56.4,8.47,1204
ZA-01,25.98,17.95,52.62,3.46,897
ZA-02,33.72,29.07,32.56,4.65,86
