key,AILIT-O01F,AILIT-O02F,AILIT-O03F,AILIT-O04F,total_aligned
AE-01,100.0,0.0,0.0,0.0,1
AE-02,0.0,0.0,60.0,40.0,5
AU-01,8.82,11.76,2.94,76.47,34
AU-02,40.0,0.0,0.0,60.0,5
AU-03,0.0,0.0,0.0,100.0,3
BR-01,0.0,0.0,0.0,0.0,0
BR-02,39.67,6.61,10.74,42.98,121
BR-03,22.54,4.38,29.32,43.76,457
CA-01,0.0,0.0,6.67,93.33,15
CA-02,7.14,2.38,30.95,59.52,42
CA-03,6.25,0.0,0.0,93.75,16
CN-01,11.43,6.49,13.51,68.57,385
CN-02,0.0,0.0,100.0,0.0,1
DE-01,20.34,3.6,7.2,68.86,472
DE-02,31.25,6.25,0.0,62.5,16
DE-03,4.32,3.09,4.32,88.27,162
EE-01,66.67,0.0,33.33,0.0,3
EE-02,50.0,0.0,16.67,33.33,54
ES-01,15.0,5.0,5.0,75.0,60
ES-02,15.04,6.02,13.53,65.41,133
FI-01,17.49,16.53,15.84,50.14,1452
FI-02,0.0,0.0,0.0,100.0,4
FI-03,8.33,0.0,16.67,75.0,12
FI-04,11.11,0.0,11.11,77.78,18
FR-01,13.08,4.23,5.77,76.92,260
FR-02,8.67,6.67,10.0,74.67,150
FR-03,12.38,2.44,7.59,77.59,1147
GB-01_full,11.82,11.82,18.18,58.18,110
GB-02_full,22.43,6.99,12.13,58.46,544
GB-03,0.0,0.0,0.0,100.0,3
GB-04_full,0.0,0.0,0.0,100.0,5
IE-01,7.16,0.49,0.86,91.48,810
IE-02,15.57,5.66,12.74,66.04,424
IL-01,14.2,6.17,13.21,66.42,810
IL-02,28.83,2.7,33.33,35.14,111
IN-01,15.53,4.87,12.96,66.64,1088
IN-02,63.74,2.93,18.32,15.02,273
IN-03,24.1,21.69,4.82,49.4,83
IT-01,12.55,9.0,15.9,62.55,478
IT-02,10.09,5.69,11.19,73.03,545
JP-01,22.13,7.31,13.57,56.99,479
JP-02,27.89,6.32,16.32,49.47,190
JP-03,11.54,15.38,11.54,61.54,26
KR-01,6.74,3.37,1.12,88.76,89
KR-02,12.46,16.04,11.49,60.01,3186
KR-03,2.91,5.83,5.83,85.44,103
KR-04,0.87,1.74,13.04,84.35,115
KR-05,2.08,0.0,2.08,95.83,48
MX-01,16.4,3.68,12.09,67.82,951
MX-02,34.0,14.0,12.0,40.0,50
NL-01,22.34,5.32,19.44,52.89,864
NL-02,0.0,25.0,0.0,75.0,4
NO-01,17.92,6.64,18.05,57.39,798
NO-02,0.0,14.29,0.0,85.71,7
SA-01,28.04,6.35,7.41,58.2,189
SA-02,35.48,0.0,3.23,61.29,31
SE-01,18.49,2.52,10.08,68.91,119
SE-02,16.06,5.62,14.06,64.26,249
SG-01,23.52,13.14,12.5,50.85,472
SG-02,12.5,0.0,0.0,87.5,8
SG-03,33.33,8.33,8.33,50.0,12
US-01,12.17,2.61,20.87,64.35,230
US-02,6.61,4.59,15.33,73.46,1285
US-03,0.0,0.0,21.74,78.26,46
US-04,10.06,4.85,15.55,69.54,1402
ZA-01,22.96,4.83,23.74,48.47,1015
ZA-02,19.81,4.72,2.83,72.64,106
