key,AILIT-T01,AILIT-T02,AILIT-T03,AILIT-T04,AILIT-T05,total_aligned
AE-01,0.0,100.0,0.0,0.0,0.0,1
AE-02,25.0,0.0,0.0,50.0,25.0,4
AU-01,12.9,9.68,25.81,38.71,12.9,31
AU-02,0.0,0.0,20.0,40.0,40.0,5
AU-03,33.33,0.0,0.0,66.67,0.0,3
BR-02,3.74,17.76,24.3,33.64,20.56,107
BR-03,17.65,33.75,13.93,17.03,17.65,323
CA-01,0.0,6.67,0.0,20.0,73.33,15
CA-02,21.43,21.43,7.14,35.71,14.29,42
CA-03,0.0,0.0,12.5,18.75,68.75,16
CN-01,4.95,4.64,19.81,10.22,60.37,323
DE-01,8.02,9.77,14.29,17.29,50.63,399
DE-02,7.69,7.69,15.38,30.77,38.46,13
DE-03,17.33,5.33,2.67,46.67,28.0,150
EE-01,0.0,0.0,0.0,33.33,66.67,3
EE-02,4.35,28.26,8.7,32.61,26.09,46
ES-01,33.33,16.67,6.67,21.67,21.67,60
ES-02,3.42,5.98,16.24,10.26,64.1,117
FI-01,22.42,16.64,13.75,24.61,22.59,1142
FI-02,25.0,0.0,0.0,75.0,0.0,4
FI-03,16.67,50.0,0.0,25.0,8.33,12
FI-04,5.56,11.11,0.0,50.0,33.33,18
FR-01,2.34,3.27,15.89,7.94,70.56,214
FR-02,16.55,22.3,6.47,46.04,8.63,139
FR-03,8.9,7.18,12.75,17.68,53.48,933
GB-01_full,11.34,16.49,13.4,40.21,18.56,97
GB-02_full,5.61,12.06,11.23,18.3,52.81,481
GB-03,0.0,0.0,66.67,33.33,0.0,3
GB-04_full,0.0,25.0,25.0,50.0,0.0,4
IE-01,15.93,0.86,7.46,48.49,27.26,697
IE-02,10.88,14.51,11.14,51.55,11.92,386
IL-01,5.85,14.63,13.17,20.0,46.34,615
IL-02,7.53,48.39,11.83,25.81,6.45,93
IN-01,3.91,8.17,17.15,21.17,49.6,869
IN-02,9.01,68.02,5.41,12.16,5.41,222
IN-03,7.14,7.14,31.43,18.57,35.71,70
IT-01,10.37,6.38,14.36,25.27,43.62,376
IT-02,13.73,5.54,12.53,19.28,48.92,415
JP-01,16.93,13.8,14.06,18.49,36.72,384
JP-02,9.34,9.34,18.68,22.53,40.11,182
JP-03,23.08,7.69,15.38,26.92,26.92,26
KR-01,23.29,0.0,1.37,56.16,19.18,73
KR-02,54.54,0.53,1.96,32.49,10.48,2653
KR-03,29.47,1.05,1.05,42.11,26.32,95
KR-04,12.75,0.98,1.96,34.31,50.0,102
KR-05,35.71,0.0,2.38,38.1,23.81,42
MX-01,21.43,17.45,10.58,24.31,26.24,728
MX-02,13.04,41.3,13.04,10.87,21.74,46
NL-01,7.16,16.67,14.46,23.0,38.71,726
NL-02,25.0,25.0,25.0,25.0,0.0,4
NO-01,8.63,20.6,10.92,22.71,37.15,568
NO-02,0.0,16.67,33.33,0.0,50.0,6
SA-01,3.61,6.63,18.07,9.04,62.65,166
SA-02,0.0,0.0,20.0,13.33,66.67,30
SE-01,10.0,13.64,10.0,32.73,33.64,110
SE-02,11.54,7.21,21.15,31.25,28.85,208
SG-01,8.06,12.37,11.29,13.17,55.11,372
SG-02,0.0,0.0,12.5,37.5,50.0,8
SG-03,16.67,8.33,8.33,58.33,8.33,12
US-01,9.9,19.27,20.31,28.12,22.4,192
US-02,30.32,7.21,4.22,39.54,18.72,1138
US-03,0.0,4.65,6.98,44.19,44.19,43
US-04,33.16,9.06,8.03,35.9,13.85,1170
ZA-01,13.83,29.67,10.52,20.09,25.89,846
ZA-02,6.25,11.25,16.25,16.25,50.0,80
