key,AILIT-S01,AILIT-S02,AILIT-S03,AILIT-S04,AILIT-S05,AILIT-S06,AILIT-S07,AILIT-S08,AILIT-S09,AILIT-S10,AILIT-S11,AILIT-S12,total_aligned
AE-01,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
AE-02,20.0,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,5
AU-01,5.71,8.57,17.14,0.0,17.14,14.29,2.86,0.0,20.0,2.86,2.86,8.57,35
AU-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,66.67,6
AU-03,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,33.33,3
BR-02,12.67,2.0,7.33,4.67,23.33,3.33,1.33,3.33,0.0,22.67,5.33,14.0,150
BR-03,8.16,17.02,2.84,6.03,18.26,9.57,3.37,0.35,0.18,22.34,2.13,9.75,564
CA-01,0.0,0.0,33.33,0.0,6.67,0.0,6.67,0.0,0.0,26.67,0.0,26.67,15
CA-02,22.73,2.27,6.82,4.55,27.27,4.55,4.55,2.27,4.55,2.27,0.0,18.18,44
CA-03,12.5,0.0,0.0,6.25,0.0,0.0,6.25,6.25,6.25,31.25,6.25,25.0,16
CN-01,3.6,0.77,10.8,1.29,3.34,3.08,11.31,1.8,5.66,28.79,16.71,12.85,389
CN-02,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
DE-01,5.78,1.59,19.52,3.98,10.16,2.99,2.39,0.6,1.2,31.08,3.98,16.73,502
DE-02,0.0,0.0,6.25,12.5,0.0,0.0,0.0,0.0,0.0,62.5,6.25,12.5,16
DE-03,4.05,4.62,18.5,3.47,7.51,2.89,6.36,9.25,9.25,14.45,1.73,17.92,173
EE-01,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,66.67,0.0,0.0,3
EE-02,6.25,14.06,7.81,0.0,23.44,7.81,1.56,0.0,1.56,15.62,1.56,20.31,64
ES-01,7.69,3.08,43.08,6.15,10.77,0.0,4.62,0.0,1.54,12.31,1.54,9.23,65
ES-02,1.36,0.68,8.16,2.04,12.24,4.08,27.21,0.0,2.04,16.33,12.24,13.61,147
FI-01,9.91,4.99,7.6,5.17,21.84,4.56,9.0,9.31,4.68,10.71,3.65,8.58,1644
FI-02,0.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,4
FI-03,0.0,0.0,25.0,25.0,16.67,8.33,0.0,0.0,0.0,0.0,0.0,25.0,12
FI-04,5.26,0.0,5.26,5.26,0.0,15.79,26.32,26.32,0.0,5.26,0.0,10.53,19
FR-01,3.65,1.46,22.63,1.46,5.11,2.19,6.57,1.46,1.09,22.99,8.39,22.99,274
FR-02,8.02,3.7,17.28,8.64,21.6,8.64,7.41,8.02,1.23,10.49,0.0,4.94,162
FR-03,4.38,2.48,19.75,6.78,8.84,2.89,3.22,0.66,0.5,28.18,4.05,18.26,1210
GB-01_full,6.96,1.74,8.7,0.87,25.22,7.83,2.61,4.35,16.52,13.04,0.0,12.17,115
GB-02_full,8.39,1.22,14.34,6.12,14.34,2.27,3.5,2.1,3.15,29.9,1.22,13.46,572
GB-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,66.67,3
GB-04_full,0.0,0.0,0.0,0.0,40.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,5
IE-01,1.05,1.52,32.32,1.87,6.56,8.67,1.17,29.63,3.16,3.51,2.46,8.08,854
IE-02,8.08,3.06,14.41,3.28,17.47,6.77,4.37,8.52,7.86,15.5,0.66,10.04,458
IL-01,8.72,2.23,12.51,7.6,13.85,4.02,4.02,3.24,2.91,18.88,8.83,13.18,895
IL-02,15.0,5.0,5.83,16.67,19.17,7.5,0.0,1.67,0.0,24.17,0.0,5.0,120
IN-01,4.68,1.47,10.93,3.21,10.23,2.17,8.33,3.56,2.69,34.87,5.03,12.84,1153
IN-02,9.18,4.59,10.52,5.74,48.76,7.65,1.91,0.19,0.0,5.54,0.76,5.16,523
