,KR,GB,SG,FI,US,CN,JP,DE,FR,CA,IL,IN,EE,NO,SE,NL,IE,ES,IT,SA,BR,MX,ZA
KR,0.0000,0.2391,0.3180,0.1041,0.1000,0.2903,0.2603,0.1576,0.2136,0.1421,0.2291,0.2543,0.4243,0.1369,0.0789,0.2133,0.1857,0.3585,0.3082,0.3109,0.2690,0.1912,0.1850
GB,0.2391,0.0000,0.1456,0.1774,0.2671,0.0766,0.1212,0.1401,0.0964,0.1967,0.0348,0.0683,0.2994,0.1221,0.1810,0.1053,0.3639,0.1634,0.0912,0.1641,0.1065,0.0832,0.0757
SG,0.3180,0.1456,0.0000,0.2654,0.3697,0.1372,0.0769,0.2200,0.1207,0.2979,0.1603,0.0855,0.1851,0.1974,0.2426,0.1286,0.4740,0.1442,0.1510,0.1171,0.1623,0.1528,0.1827
FI,0.1041,0.1774,0.2654,0.0000,0.1726,0.2460,0.2268,0.1678,0.1839,0.0563,0.1816,0.1914,0.4094,0.1260,0.0805,0.1902,0.2492,0.3253,0.2630,0.2912,0.2458,0.1632,0.1549
US,0.1000,0.2671,0.3697,0.1726,0.0000,0.3059,0.3056,0.1674,0.2552,0.1917,0.2477,0.3020,0.4636,0.1760,0.1600,0.2517,0.1153,0.3729,0.3192,0.3383,0.2764,0.2239,0.2037
CN,0.2903,0.0766,0.1372,0.2460,0.3059,0.0000,0.1136,0.1564,0.1093,0.2693,0.0679,0.1017,0.2544,0.1596,0.2333,0.1117,0.4066,0.0906,0.0225,0.1161,0.0576,0.1074,0.1079
JP,0.2603,0.1212,0.0769,0.2268,0.3056,0.1136,0.0000,0.1492,0.0525,0.2673,0.1208,0.0791,0.1923,0.1328,0.1884,0.0560,0.4147,0.1360,0.1338,0.0782,0.1122,0.0893,0.1257
DE,0.1576,0.1401,0.2200,0.1678,0.1674,0.1564,0.1492,0.0000,0.1009,0.2086,0.1130,0.1651,0.3091,0.0528,0.1228,0.0937,0.2797,0.2136,0.1735,0.1738,0.1189,0.0716,0.0655
FR,0.2136,0.0964,0.1207,0.1839,0.2552,0.1093,0.0525,0.1009,0.0000,0.2257,0.0883,0.0794,0.2383,0.0815,0.1452,0.0138,0.3647,0.1587,0.1316,0.1089,0.0977,0.0385,0.0779
CA,0.1421,0.1967,0.2979,0.0563,0.1917,0.2693,0.2673,0.2086,0.2257,0.0000,0.2046,0.2196,0.4519,0.1719,0.1361,0.2331,0.2472,0.3537,0.2833,0.3306,0.2763,0.2025,0.1868
IL,0.2291,0.0348,0.1603,0.1816,0.2477,0.0679,0.1208,0.1130,0.0883,0.2046,0.0000,0.0902,0.2962,0.1065,0.1759,0.0932,0.3476,0.1550,0.0836,0.1531,0.0804,0.0663,0.0503
IN,0.2543,0.0683,0.0855,0.1914,0.3020,0.1017,0.0791,0.1651,0.0794,0.2196,0.0902,0.0000,0.2560,0.1356,0.1827,0.0922,0.4030,0.1610,0.1199,0.1420,0.1307,0.0942,0.1140
EE,0.4243,0.2994,0.1851,0.4094,0.4636,0.2544,0.1923,0.3091,0.2383,0.4519,0.2962,0.2560,0.0000,0.3097,0.3588,0.2347,0.5710,0.1913,0.2623,0.1499,0.2463,0.2716,0.3048
NO,0.1369,0.1221,0.1974,0.1260,0.1760,0.1596,0.1328,0.0528,0.0815,0.1719,0.1065,0.1356,0.3097,0.0000,0.0814,0.0805,0.2861,0.2248,0.1795,0.1803,0.1379,0.0552,0.0610
SE,0.0789,0.1810,0.2426,0.0805,0.1600,0.2333,0.1884,0.1228,0.1452,0.1361,0.1759,0.1827,0.3588,0.0814,0.0000,0.1472,0.2584,0.2991,0.2534,0.2477,0.2179,0.1303,0.1360
NL,0.2133,0.1053,0.1286,0.1902,0.2517,0.1117,0.0560,0.0937,0.0138,0.2331,0.0932,0.0922,0.2347,0.0805,0.1472,0.0000,0.3623,0.1569,0.1337,0.1034,0.0929,0.0394,0.0786
IE,0.1857,0.3639,0.4740,0.2492,0.1153,0.4066,0.4147,0.2797,0.3647,0.2472,0.3476,0.4030,0.5710,0.2861,0.2584,0.3623,0.0000,0.4761,0.4175,0.4479,0.3815,0.3327,0.3091
ES,0.3585,0.1634,0.1442,0.3253,0.3729,0.0906,0.1360,0.2136,0.1587,0.3537,0.1550,0.1610,0.1913,0.2248,0.2991,0.1569,0.4761,0.0000,0.0863,0.0861,0.0993,0.1719,0.1840
IT,0.3082,0.0912,0.1510,0.2630,0.3192,0.0225,0.1338,0.1735,0.1316,0.2833,0.0836,0.1199,0.2623,0.1795,0.2534,0.1337,0.4175,0.0863,0.0000,0.1284,0.0692,0.1286,0.1253
SA,0.3109,0.1641,0.1171,0.2912,0.3383,0.1161,0.0782,0.1738,0.1089,0.3306,0.1531,0.1420,0.1499,0.1803,0.2477,0.1034,0.4479,0.0861,0.1284,0.0000,0.0985,0.1341,0.1618
BR,0.2690,0.1065,0.1623,0.2458,0.2764,0.0576,0.1122,0.1189,0.0977,0.2763,0.0804,0.1307,0.2463,0.1379,0.2179,0.0929,0.3815,0.0993,0.0692,0.0985,0.0000,0.0912,0.0932
MX,0.1912,0.0832,0.1528,0.1632,0.2239,0.1074,0.0893,0.0716,0.0385,0.2025,0.0663,0.0942,0.2716,0.0552,0.1303,0.0394,0.3327,0.1719,0.1286,0.1341,0.0912,0.0000,0.0404
ZA,0.1850,0.0757,0.1827,0.1549,0.2037,0.1079,0.1257,0.0655,0.0779,0.1868,0.0503,0.1140,0.3048,0.0610,0.1360,0.0786,0.3091,0.1840,0.1253,0.1618,0.0932,0.0404,0.0000
