,KR,GB,SG,FI,US,CN,JP,DE,FR,CA,IL,IN,EE,NO,SE,NL,IE,ES,IT,SA,BR,MX,ZA
KR,0.0000,0.0920,0.0889,0.0496,0.1222,0.0555,0.0969,0.0832,0.1744,0.0855,0.0685,0.1042,0.4515,0.1109,0.1301,0.1076,0.2453,0.0945,0.0454,0.1968,0.1672,0.0863,0.1226
GB,0.0920,0.0000,0.0352,0.1042,0.1672,0.0818,0.0388,0.0547,0.1431,0.1318,0.0597,0.0933,0.4107,0.1271,0.0892,0.0673,0.2290,0.1237,0.0541,0.1088,0.1715,0.0797,0.1040
SG,0.0889,0.0352,0.0000,0.1158,0.1800,0.0797,0.0495,0.0587,0.1769,0.1442,0.0520,0.1140,0.4298,0.1504,0.1115,0.0757,0.2618,0.1306,0.0560,0.1176,0.1825,0.0977,0.1169
FI,0.0496,0.1042,0.1158,0.0000,0.1137,0.0647,0.1161,0.1070,0.1443,0.0782,0.1016,0.1025,0.4475,0.0864,0.1327,0.1272,0.2088,0.1078,0.0722,0.2095,0.1750,0.0900,0.1342
US,0.1222,0.1672,0.1800,0.1137,0.0000,0.1687,0.1503,0.1321,0.1499,0.0388,0.1358,0.0891,0.3789,0.0651,0.1249,0.1369,0.1854,0.0624,0.1261,0.2439,0.0944,0.0929,0.1072
CN,0.0555,0.0818,0.0797,0.0647,0.1687,0.0000,0.1072,0.1055,0.1791,0.1306,0.0935,0.1337,0.4759,0.1398,0.1509,0.1293,0.2550,0.1424,0.0693,0.1871,0.2104,0.1165,0.1553
JP,0.0969,0.0388,0.0495,0.1161,0.1503,0.1072,0.0000,0.0238,0.1445,0.1191,0.0401,0.0723,0.3845,0.1193,0.0631,0.0292,0.2276,0.0985,0.0516,0.1052,0.1387,0.0599,0.0703
DE,0.0832,0.0547,0.0587,0.1070,0.1321,0.1055,0.0238,0.0000,0.1498,0.1014,0.0230,0.0632,0.3868,0.1098,0.0644,0.0257,0.2294,0.0774,0.0398,0.1270,0.1242,0.0479,0.0596
FR,0.1744,0.1431,0.1769,0.1443,0.1499,0.1791,0.1445,0.1498,0.0000,0.1375,0.1671,0.1029,0.3405,0.0893,0.1049,0.1447,0.0876,0.1531,0.1530,0.1824,0.1631,0.1146,0.1331
CA,0.0855,0.1318,0.1442,0.0782,0.0388,0.1306,0.1191,0.1014,0.1375,0.0000,0.1032,0.0672,0.3938,0.0495,0.1058,0.1111,0.1893,0.0475,0.0893,0.2174,0.1057,0.0644,0.0919
IL,0.0685,0.0597,0.0520,0.1016,0.1358,0.0935,0.0401,0.0230,0.1671,0.1032,0.0000,0.0796,0.4069,0.1196,0.0867,0.0470,0.2460,0.0811,0.0303,0.1409,0.1366,0.0619,0.0775
IN,0.1042,0.0933,0.1140,0.1025,0.0891,0.1337,0.0723,0.0632,0.1029,0.0672,0.0796,0.0000,0.3529,0.0561,0.0390,0.0598,0.1730,0.0564,0.0755,0.1566,0.0887,0.0194,0.0403
EE,0.4515,0.4107,0.4298,0.4475,0.3789,0.4759,0.3845,0.3868,0.3405,0.3938,0.4069,0.3529,0.0000,0.3713,0.3316,0.3634,0.3231,0.3731,0.4183,0.3626,0.3063,0.3696,0.3361
NO,0.1109,0.1271,0.1504,0.0864,0.0651,0.1398,0.1193,0.1098,0.0893,0.0495,0.1196,0.0561,0.3713,0.0000,0.0900,0.1136,0.1427,0.0782,0.1030,0.2031,0.1135,0.0631,0.0931
SE,0.1301,0.0892,0.1115,0.1327,0.1249,0.1509,0.0631,0.0644,0.1049,0.1058,0.0867,0.0390,0.3316,0.0900,0.0000,0.0474,0.1793,0.0857,0.0915,0.1240,0.0964,0.0477,0.0371
NL,0.1076,0.0673,0.0757,0.1272,0.1369,0.1293,0.0292,0.0257,0.1447,0.1111,0.0470,0.0598,0.3634,0.1136,0.0474,0.0000,0.2229,0.0815,0.0645,0.1145,0.1119,0.0516,0.0443
IE,0.2453,0.2290,0.2618,0.2088,0.1854,0.2550,0.2276,0.2294,0.0876,0.1893,0.2460,0.1730,0.3231,0.1427,0.1793,0.2229,0.0000,0.2113,0.2314,0.2618,0.2038,0.1878,0.2002
ES,0.0945,0.1237,0.1306,0.1078,0.0624,0.1424,0.0985,0.0774,0.1531,0.0475,0.0811,0.0564,0.3731,0.0782,0.0857,0.0815,0.2113,0.0000,0.0823,0.1947,0.0741,0.0529,0.0580
IT,0.0454,0.0541,0.0560,0.0722,0.1261,0.0693,0.0516,0.0398,0.1530,0.0893,0.0303,0.0755,0.4183,0.1030,0.0915,0.0645,0.2314,0.0823,0.0000,0.1536,0.1457,0.0563,0.0884
SA,0.1968,0.1088,0.1176,0.2095,0.2439,0.1871,0.1052,0.1270,0.1824,0.2174,0.1409,0.1566,0.3626,0.2031,0.1240,0.1145,0.2618,0.1947,0.1536,0.0000,0.2066,0.1537,0.1460
BR,0.1672,0.1715,0.1825,0.1750,0.0944,0.2104,0.1387,0.1242,0.1631,0.1057,0.1366,0.0887,0.3063,0.1135,0.0964,0.1119,0.2038,0.0741,0.1457,0.2066,0.0000,0.0997,0.0692
MX,0.0863,0.0797,0.0977,0.0900,0.0929,0.1165,0.0599,0.0479,0.1146,0.0644,0.0619,0.0194,0.3696,0.0631,0.0477,0.0516,0.1878,0.0529,0.0563,0.1537,0.0997,0.0000,0.0453
ZA,0.1226,0.1040,0.1169,0.1342,0.1072,0.1553,0.0703,0.0596,0.1331,0.0919,0.0775,0.0403,0.3361,0.0931,0.0371,0.0443,0.2002,0.0580,0.0884,0.1460,0.0692,0.0453,0.0000
