,KR,GB,SG,FI,US,CN,JP,DE,FR,CA,IL,IN,EE,NO,SE,NL,IE,ES,IT,SA,BR,MX,ZA
KR,0.0000,0.1126,0.1183,0.0914,0.1395,0.0987,0.1377,0.1639,0.1635,0.2216,0.1193,0.1613,0.4170,0.1260,0.1316,0.1677,0.2008,0.1110,0.0882,0.1848,0.2276,0.1390,0.1875
GB,0.1126,0.0000,0.0717,0.1026,0.1354,0.0926,0.0311,0.1224,0.1422,0.2093,0.0545,0.0492,0.3092,0.0511,0.0612,0.0717,0.1917,0.0709,0.0921,0.0988,0.1397,0.0670,0.0956
SG,0.1183,0.0717,0.0000,0.0674,0.1959,0.1501,0.0670,0.1792,0.2038,0.2734,0.1204,0.0918,0.3231,0.1026,0.1321,0.1100,0.2495,0.1346,0.1458,0.1193,0.1531,0.1376,0.1284
FI,0.0914,0.1026,0.0674,0.0000,0.1845,0.1441,0.1070,0.2097,0.2208,0.2622,0.1279,0.1372,0.3696,0.1079,0.1519,0.1301,0.2665,0.1499,0.1375,0.1801,0.1680,0.1607,0.1444
US,0.1395,0.1354,0.1959,0.1845,0.0000,0.0496,0.1583,0.1341,0.1033,0.0843,0.0860,0.1644,0.3878,0.1146,0.0912,0.1535,0.1419,0.0861,0.0569,0.2077,0.2144,0.0964,0.1659
CN,0.0987,0.0926,0.1501,0.1441,0.0496,0.0000,0.1195,0.1107,0.0950,0.1328,0.0544,0.1295,0.3732,0.0848,0.0604,0.1285,0.1415,0.0470,0.0108,0.1686,0.1961,0.0679,0.1461
JP,0.1377,0.0311,0.0670,0.1070,0.1583,0.1195,0.0000,0.1444,0.1674,0.2270,0.0730,0.0304,0.2835,0.0560,0.0821,0.0534,0.2168,0.0987,0.1200,0.0966,0.1145,0.0867,0.0760
DE,0.1639,0.1224,0.1792,0.2097,0.1341,0.1107,0.1444,0.0000,0.0479,0.1872,0.1181,0.1350,0.3495,0.1490,0.0842,0.1709,0.0812,0.0710,0.1139,0.1181,0.2394,0.0757,0.1912
FR,0.1635,0.1422,0.2038,0.2208,0.1033,0.0950,0.1674,0.0479,0.0000,0.1482,0.1201,0.1620,0.3781,0.1556,0.0916,0.1849,0.0517,0.0744,0.0995,0.1620,0.2539,0.0859,0.2034
CA,0.2216,0.2093,0.2734,0.2622,0.0843,0.1328,0.2270,0.1872,0.1482,0.0000,0.1564,0.2266,0.4078,0.1812,0.1575,0.2088,0.1688,0.1600,0.1409,0.2710,0.2565,0.1595,0.2141
IL,0.1193,0.0545,0.1204,0.1279,0.0860,0.0544,0.0730,0.1181,0.1201,0.1564,0.0000,0.0810,0.3234,0.0364,0.0358,0.0750,0.1713,0.0534,0.0591,0.1384,0.1447,0.0464,0.0937
IN,0.1613,0.0492,0.0918,0.1372,0.1644,0.1295,0.0304,0.1350,0.1620,0.2266,0.0810,0.0000,0.2614,0.0716,0.0798,0.0571,0.2101,0.1017,0.1321,0.0808,0.1154,0.0810,0.0772
EE,0.4170,0.3092,0.3231,0.3696,0.3878,0.3732,0.2835,0.3495,0.3781,0.4078,0.3234,0.2614,0.0000,0.3092,0.3191,0.2651,0.4118,0.3473,0.3791,0.2749,0.2305,0.3160,0.2544
NO,0.1260,0.0511,0.1026,0.1079,0.1146,0.0848,0.0560,0.1490,0.1556,0.1812,0.0364,0.0716,0.3092,0.0000,0.0672,0.0473,0.2068,0.0861,0.0871,0.1428,0.1139,0.0766,0.0657
SE,0.1316,0.0612,0.1321,0.1519,0.0912,0.0604,0.0821,0.0842,0.0916,0.1575,0.0358,0.0798,0.3191,0.0672,0.0000,0.0942,0.1429,0.0324,0.0665,0.1188,0.1650,0.0109,0.1139
NL,0.1677,0.0717,0.1100,0.1301,0.1535,0.1285,0.0534,0.1709,0.1849,0.2088,0.0750,0.0571,0.2651,0.0473,0.0942,0.0000,0.2355,0.1204,0.1320,0.1378,0.0723,0.0999,0.0239
IE,0.2008,0.1917,0.2495,0.2665,0.1419,0.1415,0.2168,0.0812,0.0517,0.1688,0.1713,0.2101,0.4118,0.2068,0.1429,0.2355,0.0000,0.1248,0.1450,0.1981,0.3035,0.1367,0.2536
ES,0.1110,0.0709,0.1346,0.1499,0.0861,0.0470,0.0987,0.0710,0.0744,0.1600,0.0534,0.1017,0.3473,0.0861,0.0324,0.1204,0.1248,0.0000,0.0498,0.1255,0.1921,0.0346,0.1414
IT,0.0882,0.0921,0.1458,0.1375,0.0569,0.0108,0.1200,0.1139,0.0995,0.1409,0.0591,0.1321,0.3791,0.0871,0.0665,0.1320,0.1450,0.0498,0.0000,0.1695,0.1996,0.0742,0.1502
SA,0.1848,0.0988,0.1193,0.1801,0.2077,0.1686,0.0966,0.1181,0.1620,0.2710,0.1384,0.0808,0.2749,0.1428,0.1188,0.1378,0.1981,0.1255,0.1695,0.0000,0.1887,0.1141,0.1569
BR,0.2276,0.1397,0.1531,0.1680,0.2144,0.1961,0.1145,0.2394,0.2539,0.2565,0.1447,0.1154,0.2305,0.1139,0.1650,0.0723,0.3035,0.1921,0.1996,0.1887,0.0000,0.1700,0.0518
MX,0.1390,0.0670,0.1376,0.1607,0.0964,0.0679,0.0867,0.0757,0.0859,0.1595,0.0464,0.0810,0.3160,0.0766,0.0109,0.0999,0.1367,0.0346,0.0742,0.1141,0.1700,0.0000,0.1194
ZA,0.1875,0.0956,0.1284,0.1444,0.1659,0.1461,0.0760,0.1912,0.2034,0.2141,0.0937,0.0772,0.2544,0.0657,0.1139,0.0239,0.2536,0.1414,0.1502,0.1569,0.0518,0.1194,0.0000
