,KR,GB,SG,FI,US,CN,JP,DE,FR,CA,IL,IN,NO,SE,NL,IE,ES,IT,SA,BR,MX,ZA
KR,0.0000,0.4762,0.4874,0.3501,0.2255,0.5483,0.4074,0.4128,0.4583,0.3917,0.4988,0.5197,0.4676,0.3984,0.4743,0.3128,0.4407,0.4078,0.5777,0.4631,0.3639,0.4572
GB,0.4762,0.0000,0.0730,0.2160,0.3027,0.1779,0.1118,0.0727,0.0680,0.1110,0.0647,0.0831,0.0887,0.1391,0.0627,0.2566,0.1119,0.1054,0.1823,0.2428,0.1963,0.1810
SG,0.4874,0.0730,0.0000,0.2431,0.3338,0.1413,0.1260,0.1057,0.0583,0.1499,0.1077,0.1198,0.1297,0.1915,0.1165,0.3094,0.0695,0.1113,0.1465,0.2742,0.2193,0.2051
FI,0.3501,0.2160,0.2431,0.0000,0.1453,0.3393,0.1289,0.1907,0.2344,0.1560,0.2008,0.2139,0.1640,0.1453,0.1765,0.2050,0.2115,0.2077,0.3609,0.1276,0.0429,0.1287
US,0.2255,0.3027,0.3338,0.1453,0.0000,0.4221,0.2320,0.2517,0.3093,0.2115,0.3088,0.3284,0.2721,0.2093,0.2820,0.1488,0.2984,0.2655,0.4467,0.2550,0.1638,0.2551
CN,0.5483,0.1779,0.1413,0.3393,0.4221,0.0000,0.2134,0.1935,0.1333,0.2701,0.2164,0.2100,0.2504,0.2561,0.2166,0.3810,0.1511,0.1655,0.0413,0.3711,0.3285,0.3229
JP,0.4074,0.1118,0.1260,0.1289,0.2320,0.2134,0.0000,0.0912,0.1127,0.1162,0.1208,0.1323,0.1095,0.1044,0.0957,0.2323,0.0924,0.0964,0.2354,0.1903,0.1195,0.1483
DE,0.4128,0.0727,0.1057,0.1907,0.2517,0.1935,0.0912,0.0000,0.0654,0.0875,0.1236,0.1436,0.1244,0.1078,0.1033,0.2079,0.1025,0.0516,0.2100,0.2552,0.1772,0.2004
FR,0.4583,0.0680,0.0583,0.2344,0.3093,0.1333,0.1127,0.0654,0.0000,0.1388,0.1250,0.1374,0.1438,0.1563,0.1176,0.2705,0.0711,0.0603,0.1482,0.2838,0.2181,0.2243
CA,0.3917,0.1110,0.1499,0.1560,0.2115,0.2701,0.1162,0.0875,0.1388,0.0000,0.1268,0.1565,0.0990,0.1292,0.1132,0.1876,0.1530,0.1324,0.2814,0.2175,0.1312,0.1537
IL,0.4988,0.0647,0.1077,0.2008,0.3088,0.2164,0.1208,0.1236,0.1250,0.1268,0.0000,0.0325,0.0467,0.1528,0.0370,0.2757,0.1439,0.1573,0.2172,0.1951,0.1786,0.1338
IN,0.5197,0.0831,0.1198,0.2139,0.3284,0.2100,0.1323,0.1436,0.1374,0.1565,0.0325,0.0000,0.0720,0.1616,0.0508,0.2937,0.1553,0.1711,0.2096,0.1958,0.1957,0.1451
NO,0.4676,0.0887,0.1297,0.1640,0.2721,0.2504,0.1095,0.1244,0.1438,0.0990,0.0467,0.0720,0.0000,0.1434,0.0493,0.2529,0.1512,0.1630,0.2552,0.1646,0.1379,0.0959
SE,0.3984,0.1391,0.1915,0.1453,0.2093,0.2561,0.1044,0.1078,0.1563,0.1292,0.1528,0.1616,0.1434,0.0000,0.1165,0.1549,0.1776,0.1267,0.2761,0.2062,0.1546,0.1902
NL,0.4743,0.0627,0.1165,0.1765,0.2820,0.2166,0.0957,0.1033,0.1176,0.1132,0.0370,0.0508,0.0493,0.1165,0.0000,0.2463,0.1378,0.1369,0.2233,0.1845,0.1600,0.1331
IE,0.3128,0.2566,0.3094,0.2050,0.1488,0.3810,0.2323,0.2079,0.2705,0.1876,0.2757,0.2937,0.2529,0.1549,0.2463,0.0000,0.2948,0.2305,0.4002,0.2891,0.2187,0.2804
ES,0.4407,0.1119,0.0695,0.2115,0.2984,0.1511,0.0924,0.1025,0.0711,0.1530,0.1439,0.1553,0.1512,0.1776,0.1378,0.2948,0.0000,0.0846,0.1727,0.2658,0.1932,0.2062
IT,0.4078,0.1054,0.1113,0.2077,0.2655,0.1655,0.0964,0.0516,0.0603,0.1324,0.1573,0.1711,0.1630,0.1267,0.1369,0.2305,0.0846,0.0000,0.1903,0.2806,0.1992,0.2314
SA,0.5777,0.1823,0.1465,0.3609,0.4467,0.0413,0.2354,0.2100,0.1482,0.2814,0.2172,0.2096,0.2552,0.2761,0.2233,0.4002,0.1727,0.1903,0.0000,0.3829,0.3471,0.3312
BR,0.4631,0.2428,0.2742,0.1276,0.2550,0.3711,0.1903,0.2552,0.2838,0.2175,0.1951,0.1958,0.1646,0.2062,0.1845,0.2891,0.2658,0.2806,0.3829,0.0000,0.1271,0.0902
MX,0.3639,0.1963,0.2193,0.0429,0.1638,0.3285,0.1195,0.1772,0.2181,0.1312,0.1786,0.1957,0.1379,0.1546,0.1600,0.2187,0.1932,0.1992,0.3471,0.1271,0.0000,0.1003
ZA,0.4572,0.1810,0.2051,0.1287,0.2551,0.3229,0.1483,0.2004,0.2243,0.1537,0.1338,0.1451,0.0959,0.1902,0.1331,0.2804,0.2062,0.2314,0.3312,0.0902,0.1003,0.0000
