,KR,GB,SG,FI,US,CN,JP,DE,FR,CA,IL,IN,EE,NO,SE,NL,IE,ES,IT,SA,BR,MX,ZA
KR,0.0000,0.3542,0.3694,0.3350,0.2739,0.4321,0.3596,0.3622,0.4052,0.4287,0.3814,0.3945,0.4981,0.4000,0.4017,0.3828,0.2226,0.4928,0.3918,0.3746,0.4840,0.4244,0.4131
GB,0.3542,0.0000,0.1318,0.2588,0.1745,0.2891,0.1573,0.1080,0.1684,0.2016,0.1527,0.1378,0.2558,0.2184,0.2505,0.1092,0.3105,0.3107,0.1250,0.2048,0.2869,0.2063,0.1966
SG,0.3694,0.1318,0.0000,0.2456,0.1957,0.2261,0.1344,0.1274,0.1660,0.2289,0.1087,0.1375,0.2662,0.2208,0.2468,0.1571,0.3037,0.2545,0.1779,0.1841,0.3194,0.2044,0.1883
FI,0.3350,0.2588,0.2456,0.0000,0.1496,0.3668,0.2183,0.3048,0.3262,0.2485,0.2351,0.2067,0.3306,0.1495,0.3083,0.2447,0.3030,0.3266,0.3131,0.3031,0.2997,0.1892,0.1869
US,0.2739,0.1745,0.1957,0.1496,0.0000,0.3534,0.1598,0.2284,0.2680,0.2245,0.1908,0.2023,0.3036,0.1956,0.3013,0.2048,0.2437,0.3468,0.2419,0.2712,0.2850,0.1905,0.1822
CN,0.4321,0.2891,0.2261,0.3668,0.3534,0.0000,0.2654,0.2365,0.2563,0.3741,0.2414,0.2513,0.4008,0.3148,0.2275,0.2463,0.4161,0.2603,0.2472,0.1959,0.4107,0.3759,0.3534
JP,0.3596,0.1573,0.1344,0.2183,0.1598,0.2654,0.0000,0.1475,0.1515,0.2230,0.0935,0.1484,0.2876,0.1897,0.2394,0.1361,0.2862,0.2437,0.1754,0.2029,0.2587,0.1751,0.1542
DE,0.3622,0.1080,0.1274,0.3048,0.2284,0.2365,0.1475,0.0000,0.0882,0.2597,0.1413,0.1559,0.2749,0.2502,0.2472,0.1267,0.2993,0.2839,0.1145,0.1746,0.3100,0.2556,0.2314
FR,0.4052,0.1684,0.1660,0.3262,0.2680,0.2563,0.1515,0.0882,0.0000,0.2863,0.1563,0.1738,0.2693,0.2616,0.2551,0.1512,0.3335,0.2501,0.1413,0.1980,0.2913,0.2623,0.2257
CA,0.4287,0.2016,0.2289,0.2485,0.2245,0.3741,0.2230,0.2597,0.2863,0.0000,0.2184,0.2300,0.3137,0.2577,0.2903,0.2339,0.3766,0.3568,0.2809,0.2976,0.3342,0.1840,0.2510
IL,0.3814,0.1527,0.1087,0.2351,0.1908,0.2414,0.0935,0.1413,0.1563,0.2184,0.0000,0.1267,0.2760,0.2013,0.2679,0.1336,0.3147,0.2736,0.1625,0.2353,0.2567,0.1692,0.1708
IN,0.3945,0.1378,0.1375,0.2067,0.2023,0.2513,0.1484,0.1559,0.1738,0.2300,0.1267,0.0000,0.2355,0.1193,0.2403,0.0835,0.3379,0.2530,0.1489,0.2073,0.2420,0.1748,0.1522
EE,0.4981,0.2558,0.2662,0.3306,0.3036,0.4008,0.2876,0.2749,0.2693,0.3137,0.2760,0.2355,0.0000,0.2550,0.3837,0.2702,0.4512,0.3458,0.2586,0.3383,0.2360,0.2952,0.2401
NO,0.4000,0.2184,0.2208,0.1495,0.1956,0.3148,0.1897,0.2502,0.2616,0.2577,0.2013,0.1193,0.2550,0.0000,0.2738,0.1659,0.3513,0.2797,0.2306,0.2568,0.2296,0.1899,0.1648
SE,0.4017,0.2505,0.2468,0.3083,0.3013,0.2275,0.2394,0.2472,0.2551,0.2903,0.2679,0.2403,0.3837,0.2738,0.0000,0.2133,0.4115,0.2084,0.2457,0.1321,0.3828,0.3301,0.3124
NL,0.3828,0.1092,0.1571,0.2447,0.2048,0.2463,0.1361,0.1267,0.1512,0.2339,0.1336,0.0835,0.2702,0.1659,0.2133,0.0000,0.3411,0.2602,0.0978,0.1907,0.2428,0.2021,0.1802
IE,0.2226,0.3105,0.3037,0.3030,0.2437,0.4161,0.2862,0.2993,0.3335,0.3766,0.3147,0.3379,0.4512,0.3513,0.4115,0.3411,0.0000,0.4477,0.3696,0.3432,0.4616,0.3365,0.3387
ES,0.4928,0.3107,0.2545,0.3266,0.3468,0.2603,0.2437,0.2839,0.2501,0.3568,0.2736,0.2530,0.3458,0.2797,0.2084,0.2602,0.4477,0.0000,0.2967,0.2026,0.3546,0.3292,0.2617
IT,0.3918,0.1250,0.1779,0.3131,0.2419,0.2472,0.1754,0.1145,0.1413,0.2809,0.1625,0.1489,0.2586,0.2306,0.2457,0.0978,0.3696,0.2967,0.0000,0.2131,0.2501,0.2641,0.2349
SA,0.3746,0.2048,0.1841,0.3031,0.2712,0.1959,0.2029,0.1746,0.1980,0.2976,0.2353,0.2073,0.3383,0.2568,0.1321,0.1907,0.3432,0.2026,0.2131,0.0000,0.3829,0.3204,0.2840
BR,0.4840,0.2869,0.3194,0.2997,0.2850,0.4107,0.2587,0.3100,0.2913,0.3342,0.2567,0.2420,0.2360,0.2296,0.3828,0.2428,0.4616,0.3546,0.2501,0.3829,0.0000,0.2673,0.2129
MX,0.4244,0.2063,0.2044,0.1892,0.1905,0.3759,0.1751,0.2556,0.2623,0.1840,0.1692,0.1748,0.2952,0.1899,0.3301,0.2021,0.3365,0.3292,0.2641,0.3204,0.2673,0.0000,0.1322
ZA,0.4131,0.1966,0.1883,0.1869,0.1822,0.3534,0.1542,0.2314,0.2257,0.2510,0.1708,0.1522,0.2401,0.1648,0.3124,0.1802,0.3387,0.2617,0.2349,0.2840,0.2129,0.1322,0.0000
