iso,n,focal_mean_pct,ci_lo,ci_hi
AE,7,0.0,0.0,0.0
AU,42,0.0,0.0,0.0
BR,694,1.15,0.43,2.02
CA,75,2.67,0.0,6.67
CN,387,1.81,0.52,3.36
DE,684,2.78,1.61,4.09
EE,66,0.0,0.0,0.0
ES,210,0.0,0.0,0.0
FI,1656,10.08,8.63,11.47
FR,1626,1.54,0.98,2.15
GB,687,2.91,1.75,4.22
IE,1290,23.33,21.16,25.74
IL,996,3.21,2.11,4.32
IN,1718,2.91,2.15,3.73
IT,1066,1.88,1.13,2.72
JP,751,3.86,2.53,5.2
KR,3297,30.24,28.6,31.85
MX,1253,3.75,2.71,4.87
NL,934,3.0,1.93,4.07
NO,974,4.93,3.59,6.37
SA,234,2.14,0.43,4.27
SE,385,2.08,0.78,3.64
SG,493,2.03,0.81,3.25
US,3211,9.37,8.35,10.43
ZA,1334,1.95,1.2,2.7
