key,AILIT-S01,AILIT-S02,AILIT-S03,AILIT-S04,AILIT-S05,AILIT-S06,AILIT-S07,AILIT-S08,AILIT-S09,AILIT-S10,AILIT-S11,AILIT-S12,total_aligned
AE,20.0,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,5
AU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,66.67,6
BR,12.67,2.0,7.33,4.67,23.33,3.33,1.33,3.33,0.0,22.67,5.33,14.0,150
CA,22.73,2.27,6.82,4.55,27.27,4.55,4.55,2.27,4.55,2.27,0.0,18.18,44
DE,4.05,4.62,18.5,3.47,7.51,2.89,6.36,9.25,9.25,14.45,1.73,17.92,173
EE,6.25,14.06,7.81,0.0,23.44,7.81,1.56,0.0,1.56,15.62,1.56,20.31,64
ES,1.36,0.68,8.16,2.04,12.24,4.08,27.21,0.0,2.04,16.33,12.24,13.61,147
FI,2.86,0.0,17.14,14.29,5.71,11.43,14.29,14.29,0.0,5.71,0.0,14.29,35
FR,4.81,2.62,19.46,7.0,10.35,3.57,3.72,1.53,0.58,26.09,3.57,16.69,1372
GB,0.0,0.0,0.0,0.0,25.0,12.5,12.5,12.5,0.0,0.0,0.0,37.5,8
IE,8.08,3.06,14.41,3.28,17.47,6.77,4.37,8.52,7.86,15.5,0.66,10.04,458
IL,8.72,2.23,12.51,7.6,13.85,4.02,4.02,3.24,2.91,18.88,8.83,13.18,895
IT,6.67,2.59,10.83,4.26,8.52,7.69,4.17,1.85,2.22,34.17,2.31,14.72,1080
JP,12.0,3.56,16.44,2.22,11.11,3.11,4.0,1.33,3.11,22.67,3.11,17.33,225
KR,4.36,3.27,24.36,3.27,2.91,2.55,4.73,12.36,15.27,15.64,1.09,10.18,275
NO,0.0,0.0,14.29,14.29,0.0,0.0,28.57,0.0,0.0,28.57,0.0,14.29,7
SG,15.38,0.0,0.0,0.0,7.69,15.38,0.0,7.69,23.08,23.08,0.0,7.69,13
US,10.01,6.02,12.22,8.11,16.22,6.7,4.98,8.29,6.02,9.58,1.54,10.32,1628
ZA,7.93,5.65,15.05,8.74,21.59,4.85,5.43,1.69,2.28,16.37,3.01,7.42,1362
