key,AILIT-S01,AILIT-S02,AILIT-S03,AILIT-S04,AILIT-S05,AILIT-S06,AILIT-S07,AILIT-S08,AILIT-S09,AILIT-S10,AILIT-S11,AILIT-S12,total_aligned
AE,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
AU,5.26,7.89,18.42,0.0,15.79,13.16,2.63,0.0,21.05,2.63,2.63,10.53,38
BR,8.16,17.02,2.84,6.03,18.26,9.57,3.37,0.35,0.18,22.34,2.13,9.75,564
CA,6.45,0.0,16.13,3.23,3.23,0.0,6.45,3.23,3.23,29.03,3.23,25.81,31
CN,3.59,0.77,10.77,1.54,3.33,3.08,11.28,1.79,5.64,28.72,16.67,12.82,390
DE,5.6,1.54,19.11,4.25,9.85,2.9,2.32,0.58,1.16,32.05,4.05,16.6,518
EE,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,66.67,0.0,0.0,3
ES,7.69,3.08,43.08,6.15,10.77,0.0,4.62,0.0,1.54,12.31,1.54,9.23,65
FI,9.91,4.99,7.6,5.17,21.84,4.56,9.0,9.31,4.68,10.71,3.65,8.58,1644
FR,3.65,1.46,22.63,1.46,5.11,2.19,6.57,1.46,1.09,22.99,8.39,22.99,274
GB,8.15,1.31,13.39,5.24,16.16,3.2,3.35,2.47,5.39,27.07,1.02,13.25,687
IE,1.05,1.52,32.32,1.87,6.56,8.67,1.17,29.63,3.16,3.51,2.46,8.08,854
IL,15.0,5.0,5.83,16.67,19.17,7.5,0.0,1.67,0.0,24.17,0.0,5.0,120
IN,5.84,2.33,10.78,4.14,21.44,3.74,6.69,2.5,2.04,25.64,4.25,10.61,1763
JP,9.56,4.96,16.91,5.51,10.85,4.96,7.9,4.6,1.84,16.91,5.33,10.66,544
KR,1.14,0.51,6.16,15.53,1.7,17.87,2.49,28.09,7.51,5.59,0.85,12.56,3168
MX,14.11,2.44,9.76,15.26,23.49,2.67,4.35,3.2,1.22,14.04,2.52,6.94,1311
NL,6.72,2.42,10.71,4.94,16.7,2.21,6.62,2.84,2.1,31.3,2.73,10.71,952
NO,5.63,6.21,6.3,4.66,26.38,4.27,10.09,4.17,1.45,18.33,3.2,9.31,1031
SA,2.42,0.4,13.71,2.82,19.76,2.02,13.71,2.02,4.84,19.76,3.23,15.32,248
SE,5.15,0.77,8.76,5.15,4.9,1.8,22.94,2.06,3.61,24.48,2.84,17.53,388
SG,7.98,1.84,15.75,7.16,11.86,3.27,4.7,1.23,5.73,19.84,6.13,14.52,489
US,10.59,4.71,9.23,8.74,8.18,6.38,4.52,9.05,7.19,16.42,1.05,13.94,1614
