iso,AILIT-S01,AILIT-S02,AILIT-S03,AILIT-S04,AILIT-S05,AILIT-S06,AILIT-S07,AILIT-S08,AILIT-S09,AILIT-S10,AILIT-S11,AILIT-S12,n_docs
AE,10.0,20.0,45.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
AU,2.02,4.04,16.16,2.02,4.04,2.02,0.0,0.0,29.29,2.02,1.01,37.37,3
BR,10.26,10.9,7.74,12.78,9.18,2.07,2.61,2.07,0.09,26.1,3.96,12.24,2
CA,15.48,0.76,12.63,4.55,8.9,0.0,5.82,2.84,3.6,22.15,2.08,21.2,3
CN,1.68,0.39,5.57,0.52,1.68,0.52,5.7,0.91,2.85,65.28,8.16,6.74,2
DE,3.7,2.28,20.29,2.36,3.7,0.4,3.01,3.3,3.5,37.16,4.01,16.28,3
EE,2.38,5.56,21.43,3.17,8.73,2.38,0.79,0.0,0.79,42.06,0.79,11.9,2
ES,3.77,3.0,24.83,11.22,5.07,1.38,16.1,0.0,1.8,14.69,6.63,11.51,2
FI,5.74,1.34,23.72,20.88,3.68,0.71,9.27,10.81,1.22,10.4,0.89,11.34,4
FR,6.35,3.06,23.54,6.73,6.5,0.8,5.44,3.39,0.95,22.85,4.37,16.04,3
GB,4.93,6.98,6.75,1.9,15.76,0.66,6.59,10.22,4.96,12.09,0.31,28.85,4
IE,5.56,3.24,27.07,3.34,7.31,0.79,2.82,20.13,5.72,11.2,1.81,11.0,2
IL,15.25,6.16,12.64,9.37,7.12,1.3,2.11,2.55,1.54,27.75,4.68,9.53,2
IN,5.93,3.11,13.37,5.89,14.31,1.63,8.02,2.94,2.94,23.31,7.01,11.53,3
IT,7.39,4.16,13.33,3.74,4.51,1.76,4.33,1.9,2.28,38.72,2.49,15.39,2
JP,8.51,9.26,15.96,3.91,6.11,0.38,7.57,5.35,5.08,19.93,3.15,14.8,3
KR,3.38,2.48,24.99,1.91,2.25,1.53,3.44,21.59,13.57,13.18,1.96,9.72,5
MX,15.92,2.75,17.6,16.16,14.08,1.58,2.38,1.96,0.75,18.76,1.46,6.61,2
NL,3.87,1.72,56.61,3.12,3.92,0.43,3.6,1.51,1.18,16.72,1.4,5.91,2
NO,3.36,3.93,18.53,3.36,8.07,1.19,19.66,2.48,0.88,24.73,1.65,12.16,2
SA,3.05,0.74,18.53,1.49,2.97,0.5,17.05,1.24,9.79,25.2,4.61,14.84,2
SE,5.67,0.4,10.77,8.32,4.56,1.18,19.47,1.54,2.91,24.49,2.93,17.77,2
SG,5.66,0.7,30.22,8.75,8.16,0.78,1.62,3.2,14.29,16.94,2.11,7.57,3
US,12.39,7.53,10.85,7.28,5.52,2.33,7.31,7.78,8.21,17.71,1.35,11.75,4
ZA,6.36,4.67,23.12,9.36,8.62,1.89,5.82,2.73,2.94,22.3,3.72,8.46,2
