iso,n_full,cluster1_rate_pct,full_cluster,top_dom_aspect,top_dom_rate_pct
AE,7,4.1,2,A2 Ethics,100.0
AU,44,0.0,2,A1 HCM,100.0
BR,714,0.0,2,A4 SysDes,86.9
CA,75,0.0,2,A4 SysDes,100.0
CN,390,0.0,2,A4 SysDes,100.0
DE,691,0.0,2,A4 SysDes,100.0
EE,67,0.0,2,A4 SysDes,100.0
ES,212,0.0,2,A4 SysDes,100.0
FI,1679,0.0,2,A2 Ethics,99.7
FR,1646,0.0,2,A4 SysDes,100.0
GB,695,0.0,2,A4 SysDes,100.0
IE,1312,100.0,1,A1 HCM,79.5
IL,1015,0.0,2,A4 SysDes,100.0
IN,1763,0.0,2,A4 SysDes,100.0
IT,1080,0.0,2,A4 SysDes,100.0
JP,769,0.0,2,A4 SysDes,98.2
KR,3443,100.0,1,A3 Tech,91.5
MX,1311,0.0,2,A2 Ethics,100.0
NL,952,0.0,2,A4 SysDes,100.0
NO,1038,0.0,2,A2 Ethics,96.4
SA,248,0.0,2,A4 SysDes,100.0
SE,388,0.0,2,A4 SysDes,100.0
SG,502,0.0,2,A4 SysDes,100.0
US,3242,0.0,2,A2 Ethics,46.7
ZA,1362,0.0,2,A2 Ethics,99.4
